underlyingAsset,symbol,isActive,isFreezed,borrowingEnabled,stableBorrowRateEnabled,variableBorrowRate,stableBorrowRate,liquidityRate,totalLiquidity,lastUpdateTimestamp,aTokenAddress,totalBorrows,id,totalLiquidityUSD,totalBorrowsUSD,interestPerSecond,aEmissionPerSecond,vEmissionPerSecond,sEmissionPerSecond,aIncentivesAPY,vIncentivesAPY,sIncentivesAPY,availableLiquidity,token_name
0x6b175474e89094c44da98b954eedeac495271d0f,DAI,True,True,True,False,0.0,0.035,0.0,1086320.0032003748,1735357259,0xfc1e690f61efd961294b3e1ce3313fbd8aa4f85d,13473.590068220072,0x6b175474e89094c44da98b954eedeac495271d0f0x24a42fd28c976a61df5d00d0599c34c4f90748c8,1086534.5839906067,13476.25150646624,0.00108653458399060679,,,,,,,1072846.4131321546,Unknown
0x0000000000085d4780b73119b644ae5ecd22b376,TUSD,True,True,True,False,0.0,0.035,0.0,271783.8974618778,1734465515,0x4da9b813057d04baef4e5800e36083717b4a0341,10897.083558481296,0x0000000000085d4780b73119b644ae5ecd22b3760x24a42fd28c976a61df5d00d0599c34c4f90748c8,271698.99217231025,10893.67930957761,0.00027169899217231048,,,,,,,260886.81390339648,Unknown
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,True,True,True,False,0.0,0.035,0.0,1113992.021288,1735246595,0x9ba00d6856a4edf4665bca2c2309936572473b7e,8973.910668,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480x24a42fd28c976a61df5d00d0599c34c4f90748c8,1113960.0942766692,8973.65347572025,0.00111396807275999942,,,,,,,1105018.11062,Unknown
0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,True,True,True,False,0.0,0.035,0.0,790077.941672,1735206779,0x71fc860f7d3a592a4a98740e39db31d25db65ae8,0.0,0xdac17f958d2ee523a2206206994597c13d831ec70x24a42fd28c976a61df5d00d0599c34c4f90748c8,788691.3469835849,0.0,0.00078861354209999882,,,,,,,790077.941672,Unknown
0x57ab1ec28d129707052df4df418d58a2d46d5f51,SUSD,True,True,True,False,0.0,0.035,0.0,117143.9020719057,1734200255,0x625ae63000f46200499120b906716420bd059240,1966.035156108398,0x57ab1ec28d129707052df4df418d58a2d46d5f510x24a42fd28c976a61df5d00d0599c34c4f90748c8,113848.67807835444,1910.7311573172612,0.00011384867807835472,,,,,,,115177.8669157973,Unknown
0x80fb784b7ed66730e8b1dbd9820afd29931aab03,LEND,True,True,False,False,0.0,0.03,0.0,104474.27185529764,1721862959,0x7d2d3688df45ce7c552e19c27e007673da9204b8,1814.1198890162905,0x80fb784b7ed66730e8b1dbd9820afd29931aab030x24a42fd28c976a61df5d00d0599c34c4f90748c8,349036.66691327054,6060.76834227977,0.00034903666691327175,,,,,,,102660.15196628135,Unknown
0x0d8775f648430679a709e98d2b0cb6250d2887ef,BAT,True,True,True,False,0.0,0.03,0.0,435500.7828054059,1735345763,0xe1ba0fb44ccb0d11b80f92f4f8ed94ca3ff51d00,1907.625667419524,0x0d8775f648430679a709e98d2b0cb6250d2887ef0x24a42fd28c976a61df5d00d0599c34c4f90748c8,105005.52207300812,459.95607134594394,0.00010500552207300815,,,,,,,433593.1571379864,Unknown
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,ETH,True,True,True,False,0.0,0.03,0.0,1658.6114032934736,1735449839,0x3a3a65aab0dd2a17e3f1947ba16138cd37d08c04,2.9575034134819367,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee0x24a42fd28c976a61df5d00d0599c34c4f90748c8,5564067.378504065,9921.400656050831,0.00556406737850247558,,,,,,,1655.6538998799917,Unknown
0x514910771af9ca656af840dff83e8264ecf986ca,LINK,True,True,True,False,0.0,0.03,0.0,246840.40115967256,1735332215,0xa64bd6c70cb9051f6a9ba1f163fdc07e0dfb5f84,38.10777519003778,0x514910771af9ca656af840dff83e8264ecf986ca0x24a42fd28c976a61df5d00d0599c34c4f90748c8,5261735.991022967,812.3186128089659,0.00526173599102297673,,,,,,,246802.29338448253,Unknown
0xdd974d5c2e2928dea5f71b9825b8b646686bd200,KNC,True,True,True,False,0.0,0.03,0.0,57678.60130546935,1735120331,0x9d91be44c06d373a8a226e1f3b146956083803eb,652.8479993794475,0xdd974d5c2e2928dea5f71b9825b8b646686bd2000x24a42fd28c976a61df5d00d0599c34c4f90748c8,32188.85134429401,364.33662964798873,0.00003218885134429382,,,,,,,57025.7533060899,Unknown
