Pool (Token0 / Token1),Pool ID,Token0 Symbol,Token0 Pyth Price,Token0 Confidence,Token0 Uniswap Expected Price,Token1 Symbol,Token1 Pyth Price,Token1 Confidence,Token1 Uniswap Expected Price,Expected Price (Token1/Token0),Uniswap Price (Token1/Token0),Price Deviation (%),Liquidity Token0,Liquidity Token1,TVL (USD)
USDC/WETH,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC,1.00002024,0.00137727,1.00002024,WETH,3354.4573404000002,11.08971635,3354.4573404000002,0.0002981168452959826,2.9810764681745014e-10,99.9999,1105018.11062,20194.77372105156,1.101415077844991e+16
USDC/WETH,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC,1.00002024,0.00137727,1.00002024,WETH,3354.4573404000002,11.08971635,3354.4573404000002,0.0002981168452959826,2.9891704871914523e-10,99.9999,1105018.11062,20194.77372105156,9229392937342276.0
WETH/USDT,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH,3354.4573404000002,11.08971635,3354.4573404000002,USDT,0.9978300600000001,0.00177321,0.9978300600000001,3361.7521408404955,3.353801712402905e-15,100.0,20194.77372105156,789977.702597,5057368154139305.0
WETH/USDT,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH,3354.4573404000002,11.08971635,3354.4573404000002,USDT,0.9978300600000001,0.00177321,0.9978300600000001,3361.7521408404955,3.362154060752336e-15,100.0,20194.77372105156,789977.702597,2293531187617309.5
LINK/WETH,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK,21.15892491,0.03508911,21.15892491,WETH,3354.4573404000002,11.08971635,3354.4573404000002,0.006307704276089234,6.296961568050465e-21,100.0,246802.29338448253,20194.77372105156,32310069.946386006
DAI/USDC,0x5777d92f208679db4b9778590fa3cab3ac9e2168,DAI,1.00052427,0.00224939,1.00052427,USDC,1.00002024,0.00137727,1.00002024,1.0005040197986395,9.999687793390243e-19,100.0,1072846.4131321546,1105018.11062,29988083836365.79
UNI/WETH,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,UNI,13.09115365,0.02003295,13.09115365,WETH,3354.4573404000002,11.08971635,3354.4573404000002,0.003902614438506752,3.900804333775099e-21,100.0,1153.992004331888,20194.77372105156,48981588.65135416
DAI/WETH,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI,1.00052427,0.00224939,1.00052427,WETH,3354.4573404000002,11.08971635,3354.4573404000002,0.00029826710208831963,2.989692772711612e-22,100.0,1072846.4131321546,20194.77372105156,1389101630.957511
USDC/USDT,0x3416cf6c708da44db2624d63ea0aaef7113527c6,USDC,1.00002024,0.00137727,1.00002024,USDT,0.9978300600000001,0.00177321,0.9978300600000001,1.0021949428943842,1.0021740787063828e-06,99.9999,1105018.11062,789977.702597,32892287.76872532
DAI/WETH,0x60594a405d53811d3bc4766596efd80fd545a270,DAI,1.00052427,0.00224939,1.00052427,WETH,3354.4573404000002,11.08971635,3354.4573404000002,0.00029826710208831963,2.980874774535653e-22,100.0,1072846.4131321546,20194.77372105156,515256559.6835796
AAVE/WETH,0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,AAVE,330.07489284,0.54465335,330.07489284,WETH,3354.4573404000002,11.08971635,3354.4573404000002,0.09839889417125228,9.843620983408991e-20,100.0,436.2022724855537,20194.77372105156,87724.06439634998
